[],[],[]
[],[],[]
"['809-50942', '809-50942']","['OLD DOMINION', 'OLD DOMINION']",[]
[],[],[]
[],[],[]
"['805-46793', '805-46793']","['Federal Express', 'Federal Express']","['9613019157607201634064', '9613019157607201634064']"
[],[],[]
[],[],[]
"['185-53743', '185-53743']","['WARD TRUCKING', 'WARD TRUCKING']",[]
[],[],[]
"['194-43966', '194-43966']","['YRC Corporation', 'YRC Corporation']",[]
[],[],[]
